code,name,mic
AS,NYSE EURONEXT - EURONEXT AMSTERDAM,XAMS
AT,ATHENS EXCHANGE S.A. CASH MARKET,ASEX
AX,ASX - ALL MARKETS,XASX
BA,BOLSA DE COMERCIO DE BUENOS AIRES,XBUE
BC,BOLSA DE VALORES DE COLOMBIA,XBOG
BD,BUDAPEST STOCK EXCHANGE,XBUD
BE,BOERSE BERLIN,XBER
BK,STOCK EXCHANGE OF THAILAND,XBKK
BO,BSE LTD,XBOM
BR,NYSE EURONEXT - EURONEXT BRUSSELS,XBRU
CA,Egyptian Stock Exchange,XCAI
CN,CANADIAN NATIONAL STOCK EXCHANGE,XCNQ
CO,OMX NORDIC EXCHANGE COPENHAGEN A/S,XCSE
CR,CARACAS STOCK EXCHANGE,BVCA
DB,DUBAI FINANCIAL MARKET,XDFM
DE,XETRA,XETR
DU,BOERSE DUESSELDORF,XDUS
F,DEUTSCHE BOERSE AG,XFRA
HE,NASDAQ OMX HELSINKI LTD,XHEL
HK,HONG KONG EXCHANGES AND CLEARING LTD,XHKG
HM,HANSEATISCHE WERTPAPIERBOERSE HAMBURG,XHAM
IC,NASDAQ OMX ICELAND,XICE
IR,IRISH STOCK EXCHANGE - ALL MARKET,XDUB
IS,BORSA ISTANBUL,XIST
JK,INDONESIA STOCK EXCHANGE,XIDX
JO,JOHANNESBURG STOCK EXCHANGE,XJSE
KL,BURSA MALAYSIA,XKLS
KQ,KOREA EXCHANGE (KOSDAQ),XKOS
KS,KOREA EXCHANGE (STOCK MARKET),XKRX
L,LONDON STOCK EXCHANGE,XLON
LN,Euronext London,XLDN
LS,NYSE EURONEXT - EURONEXT LISBON,XLIS
MC,BOLSA DE MADRID,XMAD
ME,MOSCOW EXCHANGE,MISX
MI,Italian Stock Exchange,XMIL
MU,BOERSE MUENCHEN,XMUN
MX,BOLSA MEXICANA DE VALORES (MEXICAN STOCK EXCHANGE),XMEX
NE,AEQUITAS NEO EXCHANGE,NEOE
NL,Nigerian Stock Exchange,XNSA
NS,NATIONAL STOCK EXCHANGE OF INDIA,XNSE
NZ,NEW ZEALAND EXCHANGE LTD,XNZE
OL,OSLO BORS ASA,XOSL
PA,NYSE EURONEXT - MARCHE LIBRE PARIS,XPAR
PM,Philippine Stock Exchange,XPHS
PR,PRAGUE STOCK EXCHANGE,XPRA
QA,QATAR EXCHANGE,DSMD
RG,NASDAQ OMX RIGA,XRIS
SA,Brazil Bolsa - Sao Paolo,BVMF
SG,BOERSE STUTTGART,XSTU
SI,SINGAPORE EXCHANGE,XSES
SN,SANTIAGO STOCK EXCHANGE,XSGO
SR,SAUDI STOCK EXCHANGE,XSAU
SS,SHANGHAI STOCK EXCHANGE,XSHG
ST,NASDAQ OMX NORDIC STOCKHOLM,XSTO
SW,SWISS EXCHANGE,XSWX
SZ,SHENZHEN STOCK EXCHANGE,XSHE
T,TOKYO STOCK EXCHANGE-TOKYO PRO MARKET,XJPX
TA,TEL AVIV STOCK EXCHANGE,XTAE
TL,NASDAQ OMX TALLINN,XTAL
TO,TORONTO STOCK EXCHANGE,XTSE
TW,TAIWAN STOCK EXCHANGE,XTAI
TWO,TPEx,ROCO
US,"US exchanges (NYSE, Nasdaq)","XNYS,XASE,BATS,ARCX,XNMS,XNCM,XNGS,IEXG"
V,TSX VENTURE EXCHANGE - NEX,XTSX
VI,Vienna Stock Exchange,XWBO
VN,"Vietnam exchanges including HOSE, HNX and UPCOM","HSTC, XSTC"
VS,NASDAQ OMX VILNIUS,XLIT
WA,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,XWAR
HA,Hanover Stock Exchange,XHAN
SX,DEUTSCHE BOERSE Stoxx,
TG,DEUTSCHE BOERSE TradeGate ,
SC,BOERSE_FRANKFURT_ZERTIFIKATE,
