Symbol,GICS Sub-Industry
MMM,Industrial Conglomerates
AOS,Building Products
ABT,Health Care Equipment
ABBV,Pharmaceuticals
ABMD,Health Care Equipment
ACN,IT Consulting & Other Services
ATVI,Interactive Home Entertainment
ADM,Agricultural Products
ADBE,Application Software
ADP,Data Processing & Outsourced Services
AAP,Automotive Retail
AES,Independent Power Producers & Energy Traders
AFL,Life & Health Insurance
A,Health Care Equipment
AIG,Property & Casualty Insurance
APD,Industrial Gases
AKAM,Internet Services & Infrastructure
ALK,Airlines
ALB,Specialty Chemicals
ARE,Office REITs
ALGN,Health Care Supplies
ALLE,Building Products
LNT,Electric Utilities
ALL,Property & Casualty Insurance
GOOGL,Interactive Media & Services
GOOG,Interactive Media & Services
MO,Tobacco
AMZN,Internet & Direct Marketing Retail
AMCR,Paper Packaging
AMD,Semiconductors
AEE,Multi-Utilities
AAL,Airlines
AEP,Electric Utilities
AXP,Consumer Finance
AMT,Specialized REITs
AWK,Water Utilities
AMP,Asset Management & Custody Banks
ABC,Health Care Distributors
AME,Electrical Components & Equipment
AMGN,Biotechnology
APH,Electronic Components
ADI,Semiconductors
ANSS,Application Software
ANTM,Managed Health Care
AON,Insurance Brokers
APA,Oil & Gas Exploration & Production
AAPL,"Technology Hardware, Storage & Peripherals"
AMAT,Semiconductor Equipment
APTV,Auto Parts & Equipment
ANET,Communications Equipment
AIZ,Multi-line Insurance
T,Integrated Telecommunication Services
ATO,Gas Utilities
ADSK,Application Software
AZO,Specialty Stores
AVB,Residential REITs
AVY,Paper Packaging
BKR,Oil & Gas Equipment & Services
BALL,Metal & Glass Containers
BAC,Diversified Banks
BBWI,Specialty Stores
BAX,Health Care Equipment
BDX,Health Care Equipment
WRB,Property & Casualty Insurance
BRK.B,Multi-Sector Holdings
BBY,Computer & Electronics Retail
BIO,Life Sciences Tools & Services
TECH,Life Sciences Tools & Services
BIIB,Biotechnology
BLK,Asset Management & Custody Banks
BK,Asset Management & Custody Banks
BA,Aerospace & Defense
